2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:09:32,428 - INFO - ############Loading Model###########
2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ############Loading Model###########
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:11:03,994 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00000, setp 3255, Reward 3255.0, 1,
2020-04-22 13:11:03,995 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00001, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:03,997 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00002, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:03,998 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00003, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:03,999 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00004, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,000 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00005, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,002 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00006, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,003 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00007, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,004 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00008, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,005 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00009, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,006 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00010, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,006 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00011, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,007 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00012, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,008 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00013, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,009 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00014, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,010 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00015, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,011 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00016, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,012 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00017, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,013 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00018, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,014 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00019, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,015 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00020, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,016 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00021, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,017 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00022, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,017 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00023, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,018 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00024, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,019 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00025, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,020 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00026, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,021 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00027, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,021 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00028, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,022 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00029, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,023 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00030, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,024 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00031, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,024 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00032, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,025 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00033, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,026 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00034, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,026 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00035, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,027 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00036, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,028 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00037, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,028 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00038, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,029 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00039, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,029 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00040, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,030 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00041, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,031 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00042, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,031 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00043, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,032 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00044, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,032 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00045, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,033 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00046, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,034 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00047, setp 000, Reward 0.0  , 1,
